MASTER ITEM NUMBER,PRODUCTS NAME,ITEM NUMBER,ITEM NAME,FABRIC STYLE,FABRIC CODE,FABRIC STYLE/COLOR,CLEANING ADVISORY ONLY ,LEGS ,CU.FT,LBS,BOXES,SHIPPING LEAD TIME,EXW COST,FREE DELIVERED COST,MAP,MSRP,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,BED SIZE,SEAT HEIGHT,MATTRESS COMFORT  ,Assembly Required? (YES/NO),SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS 
95-741051527-10-3-2,DUBLEXO CHAIR DARK WOOD,741051527,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,9.86,65.34,3,6-10 DAYS,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"35 1/2""","7 1/2""","2 3/4""",16.28,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741051XXX-10-3-2,DUBLEXO CHAIR DARK WOOD,741051XXX,"DUBLEXO CHAIR SEAT, 45""X35""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,9.86,65.34,3,Approx 12-14 WEEKS ,$520,$575,"$1,145","$1,325","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"35 1/2""","7 1/2""","2 3/4""",16.28,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741051506-8-2,DUBLEXO CHAIR STAINLESS STEEEL,741051506,"DUBLEXO CHAIR SEAT, 45""X35""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Stainless Steel,9.71,63.32,2,6-10 DAYS ,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"34 1/2""","7""","3 1/4""",15.8,,,,,,,,,,,,,,,,,,,,,,,,
95-741051521-8-2,DUBLEXO CHAIR STAINLESS STEEEL,741051521,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Stainless Steel,9.71,63.32,2,6-10 DAYS ,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"34 1/2""","7""","3 1/4""",15.8,,,,,,,,,,,,,,,,,,,,,,,,
95-741051527-8-2,DUBLEXO CHAIR STAINLESS STEEEL,741051527,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Stainless Steel,9.71,63.32,2,6-10 DAYS ,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"34 1/2""","7""","3 1/4""",15.8,,,,,,,,,,,,,,,,,,,,,,,,
95-741051XXX-8-2,DUBLEXO CHAIR STAINLESS STEEEL,741051XXX,"DUBLEXO CHAIR SEAT, 45""X35""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Stainless Steel,9.71,63.32,2,Approx 12-14 WEEKS ,$520,$575,"$1,145","$1,325","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"34 1/2""","7""","3 1/4""",15.8,,,,,,,,,,,,,,,,,,,,,,,,
95-74105020506-10-32,"DUBLEXO SOFA DARK WOOD, W/ARMS",741050506,"DUBLEXO SOFA SEAT, 45""X83""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Dark Wood,26.14,181.83,4,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"96 1/4""","5""","2 1/4""",33.88,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,
95-74105020521-10-32,"DUBLEXO SOFA DARK WOOD, W/ARMS",741050521,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Dark Wood,26.14,181.83,4,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"96 1/4""","5""","2 1/4""",33.88,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,
95-74105020527-10-32,"DUBLEXO SOFA DARK WOOD, W/ARMS",741050527,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,26.14,181.83,4,6-10 DAYS ,"$1,055","$1,170","$2,395","$2,695","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"96 1/4""","5""","2 1/4""",33.88,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,
95-74105020XXX-10-32,"DUBLEXO SOFA DARK WOOD, W/ARMS",741050XXX,"DUBLEXO SOFA SEAT, 45""X83""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,26.14,181.83,4,Approx 12-14 WEEKS ,"$1,215","$1,345","$2,750","$3,095","84""","47""","17.3""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"35 3/4""","13 3/4""","16 1/4""",38.61,"96 1/4""","5""","2 1/4""",33.88,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,
